Mouse_identifier,Cage No,Sex,%P/%C/%F,Diet Code,Sequence_run_identifier,Energy density,Energy,Prot in diet (kJ/kg D.wt),CHO in diet (kJ/kg D.wt),Fat in diet (kJ/kg D.wt),Food eaten g/mouse/d,eaten.P,eaten.C,eaten.F,Total Energy intake (kJ/d),Mouse_DNAsample_identifier,Mouse_biologicalsample_identifier,Firmicutes_Phylum,Bacteroidetes_Phylum,Clostridia_Class,Bacillae_Class,Erysipelotrichia_Class,Deferribacteres_Class,Verrucomicrobia_Class,Lachnospiraceae_Family,Clostridiaceae_Family,Ruminococcaceae_Family,Eubacteriaceae_Family,Rikenellaceae_Family,Bacteroidaceae_Family,Total_reads
167,116,F,14/57/29,SF09-066,TRTL_0711_9,4 kcal,HIGH,2347.1,9539.52,4853.44,2.29,5.38,21.85,11.11,38.34,167_cecum_1,167_cecum,63.8,18.9,59.7,3.4,0.7,0.8,0,6.4,42,4,5.6,0.1,1.9,10016
203,170,F,14/57/29,SF09-066,TRTL_0711_45,4 kcal,HIGH,2347.1,9539.52,4853.44,2.31,5.42,22.04,11.21,38.68,203_cecum_1,203_cecum,72.9,21.2,59.2,2.2,11.5,3.1,0.3,11.5,36.3,5.4,3.8,1.1,8.3,14709
202,169,M,14/57/29,SF09-066,TRTL_0711_44,4 kcal ,HIGH,2347.1,9539.52,4853.44,2.85,6.68,27.16,13.81,47.65,202_cecum_1,202_cecum,75,18.6,63.2,2.5,9.3,2.4,1.9,12.8,35.1,10.5,2.9,0.2,6.6,7759
109,18,F,42/29/29,SF09-067,TRTL_0211_9,2 kcal,LOW,3520.65,2426.72,2426.72,3.35,11.81,8.14,8.14,28.09,109_cecum_1,109_cecum,63.4,25.1,60.6,1.8,0,7.5,2.9,22.9,16.2,6,11.4,9.5,14.9,10478
144,77,M,42/29/29,SF09-067,TRTL_0211_44,2 kcal,LOW,3520.65,2426.72,2426.72,4.11,14.46,9.96,9.96,34.38,144_cecum_1,144_cecum,66.3,21.7,63.4,0.7,0,6,3,27,12,8.4,13.5,2.8,15.9,12857
177,133,M,42/29/29,SF09-067,TRTL_0711_19,2 kcal,LOW,3520.65,2426.72,2426.72,3.69,12.98,8.95,8.95,30.87,177_cecum_1,177_cecum,58.1,29.3,55.4,2.7,0,5.7,2.9,6.8,14.8,13.1,13.7,2,8,7223
178,134,F,42/29/29,SF09-067,TRTL_0711_20,2 kcal,LOW,3520.65,2426.72,2426.72,3.47,12.22,8.42,8.42,29.07,178_cecum_1,178_cecum,59.2,26.1,56.5,2.5,0.2,0,13,8.7,25.2,7.7,8.6,4.2,9.2,18123
210,187,M,42/29/29,SF09-067,TRTL_0711_52,2 kcal,LOW,3520.65,2426.72,2426.72,4.33,15.24,10.5,10.5,36.24,210_cecum_1,210_cecum,57.7,29.4,53.1,4.6,0,0,4.2,16.4,20.2,7.6,4.3,3.1,6.4,9721
211,188,F,42/29/29,SF09-067,TRTL_0711_53,2 kcal,LOW,3520.65,2426.72,2426.72,3.92,13.8,9.51,9.51,32.83,211_cecum_1,211_cecum,71.9,17.2,68.3,2.8,0.8,0.5,8.8,13.4,33.1,9.6,4.5,0.5,2.2,9021
121,37,M,42/29/29,SF09-068,TRTL_0211_21,3 kcal,MED,5280.97,3640.08,3640.08,2.93,15.45,10.65,10.65,36.74,121_cecum_1,121_cecum,75.9,6.6,72.4,2,0,11.2,0,25.8,17.7,10.1,7.2,2.6,3.5,9738
122,38,F,42/29/29,SF09-068,TRTL_0211_22,3 kcal,MED,5280.97,3640.08,3640.08,2.68,14.14,9.74,9.74,33.62,122_cecum_1,122_cecum,80.5,14,75.8,2.4,0,4.3,0.1,29.1,19.1,12.2,10.4,2.2,11,15070
154,98,F,42/29/29,SF09-068,TRTL_0211_54,3 kcal,MED,5280.97,3640.08,3640.08,2.56,13.5,9.3,9.3,32.11,154_cecum_1,154_cecum,42,47.7,39.5,0.6,0.1,6.2,1.3,6.3,22.7,4.3,2.5,6.5,38.2,11470
191,151,M,42/29/29,SF09-068,TRTL_0711_33,3 kcal,MED,5280.97,3640.08,3640.08,2.97,15.7,10.82,10.82,37.34,191_cecum_1,191_cecum,71.5,20.6,69.8,1.6,0.1,3.5,1.2,6.4,47.5,7.5,5.9,1.1,6.5,17160
192,152,F,42/29/29,SF09-068,TRTL_0711_34,3 kcal,MED,5280.97,3640.08,3640.08,2.55,13.48,9.29,9.29,32.06,192_cecum_1,192_cecum,79.3,13.9,74.4,4.5,0.4,0,0,19.5,29.8,11.3,10.8,2,5.8,8186
139,57,M,42/29/29,SF09-069,TRTL_0211_39,4 kcal,HIGH,7041.3,4853.44,4853.44,2.29,16.14,11.12,11.12,38.39,139_cecum_1,139_cecum,84.8,12.8,78.6,1.9,2.5,2.2,0,4.6,60.1,6,3.1,2.7,7.2,15039
168,117,M,42/29/29,SF09-069,TRTL_0711_10,4 kcal,HIGH,7041.3,4853.44,4853.44,2.48,17.48,12.05,12.05,41.58,168_cecum_1,168_cecum,81.1,17.7,73.9,2.6,4.6,0,0.4,1.2,67.5,2.3,1.4,0.3,6.3,19784
204,172,F,42/29/29,SF09-069,TRTL_0711_46,4 kcal ,HIGH,7041.3,4853.44,4853.44,2.14,15.05,10.38,10.38,35.81,204_cecum_1,204_cecum,77.3,19.4,62.8,6.3,8.2,0.9,0,3.5,44.9,7.1,5.1,3.7,5.5,6860
104,79,M,23/38/38,SF09-070,TRTL_0211_4,2 kcal,LOW,1927.97,3179.84,3179.84,4.03,7.78,12.83,12.83,33.43,104_cecum_1,104_cecum,63.2,15.7,56.7,4.5,0,7.1,10.5,16.7,15.7,9.2,6.3,3.1,10.9,3678
